Banking System,,,,,,
Test Case #,Summary,Dependency,Pre-condition,Post-condition,Execution steps,Expected Output
1,Verify that a registered user can log in with correct credentials.,None,User is registered in the system.,User is logged in.,"1. Open the login page.
2. Enter valid user ID and password.
3. Click the ""Login"" button.",User is directed to their account dashboard.
2,Verify that an unregistered user cannot log in.,None,User is not registered.,User remains on the login page with an error message.,"1. Open the login page.
2. Enter invalid user ID and password.
3. Click the ""Login"" button.","Error message ""Invalid credentials"" is displayed"
3,"Verify that a user is prompted with a ""Forgot Password"" option after three failed login attempts.",TC2,User has failed to log in twice,"""Forgot Password"" prompt appears.",Attempt to log in with incorrect credentials three times.,"User is shown a ""Forgot Password"" prompt."
4,Verify that users cannot transfer amounts exceeding their current balance.,TC1,User has less than the transfer amount in their account.,Transfer fails with an error message,"1. Navigate to the ""Transfer"" section.
2. Enter an amount higher than the current balance.
3. Click ""Transfer"".","Error message ""Insufficient funds"" is displayed."
5,Verify that users can reset their password via a security question.,TC3,User has set up security questions.,Password is reset.,"1. Click ""Forgot Password"" on the login page.
2. Answer the security question.
3. Enter a new password and confirm.",Password reset confirmation message is displayed
6,Verify that users receive an email confirmation after successful fund transfer.,TC4,User is logged in and completes a fund transfer.,Confirmation email is received.,"1. Complete a fund transfer.
2. Check the registered email for a confirmation message.",Email with transfer details is received.
7,Verify that users can view transaction history.,TC1,User is logged in.,Transaction history is displayed.,"1. Navigate to ""Transaction History"".
2. View the list of past transactions.",A list of all past transactions is displayed.
8,Verify that session times out after 10 minutes of inactivity.,TC1,User is logged in.,User is logged out after timeout.,"1. Log in to the account.
2. Leave the session idle for 10 minutes.",User is logged out automatically with a session timeout message.
9,Verify that users cannot enter a future date for transaction history filtering.,TC7,User is logged in.,Future dates are restricted in the filter.,"1. Go to ""Transaction History"".
2. Attempt to filter by a future date.","Error message ""Date cannot be in the future"" is displayed."
10,Verify that the system encrypts password data for user accounts.,None,User account is created with a password.,Password is stored in encrypted format.,"1. Create a new user account with a password.
2. Check the database to confirm password encryption.",Password is stored in encrypted format in the database.
11,Verify that users cannot withdraw below the minimum account balance limit.,TC4,User's account balance is just above the minimum balance.,Withdrawal fails with an error.,Attempt to withdraw an amount that would take the balance below the minimum limit.,"Error message ""Cannot withdraw below minimum balance"" is displayed."
12,Verify that the system logs out the user after password change.,TC5,User changes their password.,User is logged out and must log in with the new password.,"1. Change the password.
2. Attempt to perform actions without logging in again.",User is prompted to log in again.
13,Verify that users can update personal information.,TC1,User is logged in.,Updated information is saved.,"1. Go to ""Account Settings"".
2. Update personal information.
3. Save changes.",Changes are saved and reflected on the account.
